"Carrera","Ciclo","Nro_Curos","Dispositivo_principal","Nro_dispositivos_dia","Modelo_dispositivo_principal","Marca_disp_principal","Horas_uso_dispo_dia","Nro_carga_dia","Satisfaccion","tipo_de_uso","Bateria_dispo_pricipal","Eficiencia_energetica","Consumo_energia_dia"
"Ingenieria Industrial",4,6,"Laptop",2,"Acer Nitro 5","HP",5,1,5,"Estudios, Entretenimiento",5875,0.851063829787234,5875
"Ingenieria Ambiental",5,5,"Celular",3,"A51","Samsung",1,2,4,"Estudios",4500,0.444444444444444,9000
"Ingenieria Química",6,5,"Celular",3,"Iphone 15 plus","Apple",10,1,5,"Entretenimiento",4383,2.28154232261008,4383
"Ingenieria Mecatrónica",3,5,"Laptop",2,"A54","Samsung",1.5,2,4,"Estudios",5000,0.6,10000
"Ciencia de Datos",7,5,"Celular",5,"iphone 13","Apple",14,1,4,"Estudios, Investigación, Entretenimiento, Otros",3240,4.32098765432099,3240
"Ciencias de la computación",9,3,"Laptop",3,"Victus 16","HP",8,2,3,"Estudios, Investigación",5000,3.2,10000
"Bioingenieria",3,5,"Laptop",2,"Lenovo ThinkPad","Lenovo",6,1,3,"Estudios, Investigación, Entretenimiento",4950,1.21212121212121,4950
"Ciencias de la computación",7,3,"Laptop",2,"Tuf F15","Asus",12,8,1,"Estudios, Investigación, Entretenimiento",4000,24,32000
"Bioingenieria",2,6,"Laptop",3,"HP Victus- 16","HP",9,2,3,"Estudios",4000,4.5,8000
"Ciencias de la computación",7,6,"Laptop",2,"Dell Inspiron 7786","DELL",6,10,1,"Estudios, Investigación, Entretenimiento",3684,16.2866449511401,36840
"Ingenieria Industrial",6,5,"Celular",3,"Redmi 12","Xiaomi",8,1,5,"Estudios",5000,1.6,5000
"Ingenieria Industrial",6,6,"Laptop",2,"A80","Samsung",4,8,3,"Estudios, Investigación, Otros",3700,8.64864864864865,29600
"Ciencias de la computación",4,4,"Laptop",3,"Asus Rog","Asus",10,5,4,"Estudios, Investigación, Entretenimiento",3700,13.5135135135135,18500
"Ingenieria Industrial",9,4,"Laptop",3,"Hp EliteBook 830","HP",15,2,4,"Estudios, Investigación, Entretenimiento, Otros",4330,6.9284064665127,8660
"Ingenieria Industrial",9,5,"Laptop",3,"Dell inspirion","DELL",5,5,2,"Estudios, Investigación",4400,5.68181818181818,22000
"Ingenieria Industrial",7,6,"Laptop",2,"Lenovo thinkpad T450","Lenovo",8,6,3,"Estudios, Investigación, Entretenimiento",2100,22.8571428571429,12600
"Ingenieria Ambiental",5,6,"Laptop",2,"Lenovo THINK PAD 7450","Lenovo",6,4,4,"Estudios, Investigación, Entretenimiento",4400,5.45454545454545,17600
"Ingenieria Industrial",6,5,"Tablet",2,"Ipad Air 5th generación","Apple",5,2,4,"Estudios, Investigación, Entretenimiento",7606,1.31475151196424,15212
"Ingenieria Industrial",6,6,"Laptop",2,"Acer Nitro 5","Asus",5,4,5,"Estudios, Investigación",3700,5.40540540540541,14800
"Ingenieria Industrial",6,6,"Tablet",3,"Ipad Air 5th generación","Apple",8,3,5,"Estudios, Entretenimiento",7606,3.15540362871417,22818
"Ingenieria Industrial",6,5,"Celular",3,"A12","Samsung",2,1,4,"Entretenimiento",5000,0.4,5000
"Ingenieria Industrial",6,6,"Celular",4,"Xiaomi mi 11 lite","Xiaomi",10,2,5,"Estudios, Investigación, Entretenimiento, Otros",4250,4.70588235294118,8500
"Ingenieria Industrial",6,6,"Laptop",3,"Dell INSPIRION","DELL",5,3,3,"Investigación",3700,4.05405405405405,11100
"Ingenieria Industrial",6,6,"Laptop",3,"Rysem 7","HP",2,1,5,"Estudios, Investigación, Entretenimiento",5000,0.4,5000
"Ingenieria Industrial",6,6,"Celular",3,"iPhone 11","Apple",5,3,5,"Estudios, Entretenimiento",3046,4.92449113591596,9138
"Ingenieria Química",6,5,"Celular",2,"Moto g9 plus","Motorola",9,2,5,"Estudios, Investigación, Entretenimiento, Otros",5000,3.6,10000
"Ingenieria Industrial",4,5,"Laptop",2,"S24 ultra","Samsung",2,3,4,"Estudios, Investigación",5000,1.2,15000
"Ingenieria Industrial",3,5,"Celular",2,"Motorola g(9) plus","Motorola",6,2,5,"Estudios, Entretenimiento",5000,2.4,10000
"Ingenieria de la Energía",7,4,"Laptop",2,"Laptop HP 250 G7","HP",4,3,5,"Estudios",3630,3.30578512396694,10890
"Ingenieria Ambiental",9,3,"Laptop",2,"Legion y540","Apple",5,3,4,"Estudios, Investigación",5000,3,15000
"Ingenieria de la Energía",5,4,"Laptop",4,"iPhone 13","Apple",5,1,4,"Investigación, Entretenimiento, Otros",3240,1.54320987654321,3240
"Ingenieria de la Energía",6,6,"Celular",2,"Lenovo ThinkPad","Lenovo",4,2,3,"Estudios, Entretenimiento",8250,0.96969696969697,16500
"Ingenieria Civil",6,6,"Celular",2,"Legion y540","Lenovo",3,2,3,"Estudios, Entretenimiento",5000,1.2,10000
"Ingenieria Civil",6,6,"Laptop",2,"HP pavilion Gaming","HP",8,10,3,"Estudios, Investigación",4200,19.047619047619,42000
"Ingenieria Civil",5,5,"Laptop",2,"Aspire 3","Acer",4,3,2,"Estudios",3840,3.125,11520
"Ingenieria Ambiental",4,7,"Laptop",2,"HP Pavilion Gaming","HP",6,2,5,"Estudios, Investigación",4200,2.85714285714286,8400
"Ciencias de la computación",3,5,"Celular",2,"Iphone 13","Apple",9,1,4,"Estudios, Entretenimiento",3240,2.77777777777778,3240
"Ciencias de la computación",3,6,"Laptop",3,"Lenovo ThinkPad T450","Lenovo",8,2,5,"Estudios, Investigación",1920,8.33333333333333,3840
"Ciencias de la computación",3,6,"Laptop",3,"Acer Nitro 5","Acer",9,2,5,"Investigación",4600,3.91304347826087,9200
"Ciencias de la computación",3,6,"Laptop",3,"HP PAVILION 14","HP",6,1,5,"Estudios",3440,1.74418604651163,3440
"Ciencias de la computación",3,6,"Laptop",3,"Lenovo ThinkPad T450","Lenovo",4,1,5,"Estudios",3680,1.08695652173913,3680
"Ciencias de la computación",3,6,"Laptop",3,"Lenovo Yoga 730","Lenovo",6,1,5,"Estudios",4120,1.45631067961165,4120
"Bioingenieria",7,6,"Laptop",3,"Acer Aspire 5","Acer",8,2,5,"Estudios, Investigación",3840,4.16666666666667,7680
"Ciencias de la computación",3,6,"Laptop",2,"HP Omen 15","HP",7,1,5,"Estudios",5672.8,1.23395853899309,5672.8
"Ciencias de la computación",3,6,"Celular",2,"Samsung Galaxy S21 Ultra","Samsung",14,2,5,"Estudios, Investigación",5000,5.6,10000
"Ciencias de la computación",3,6,"Celular",2,"Huawei P50 Pro","Huawei",5,1,5,"Estudios",4360,1.14678899082569,4360
"Ciencias de la computación",3,6,"Laptop",2,"Acer Aspire 5","Acer",6,2,5,"Estudios, Investigación",3840,3.125,7680
"Ciencias de la computación",3,7,"Laptop",3,"Acer Nitro 5","Acer",8,2,5,"Estudios",4600,3.47826086956522,9200
"Ciencias de la computación",3,6,"Celular",7,"iPhone 13 Pro","Apple",9,1,5,"Estudios",3095,2.90791599353796,3095
"Ciencias de la computación",3,6,"Tablet",3,"Lenovo Tab P11 Pro","Lenovo",9,2,5,"Estudios",7500,2.4,15000
"Ciencias de la computación",3,6,"Laptop",2,"Acer TravelMate P6","Acer",8,1,5,"Estudios, Investigación",5920,1.35135135135135,5920
"Ciencias de la computación",5,5,"Tablet",3,"Huawei MatePad Pro","Huawei",9,2,5,"Estudios, Investigación",8300,2.16867469879518,16600
"Ciencias de la computación",4,6,"Laptop",3,"Acer Nitro 5","Acer",9,2,5,"Estudios",4600,3.91304347826087,9200
"Ciencias de la computación",3,6,"Tablet",2,"Xiaomi Mi Pad 5 Pro","Xiaomi",9,2,5,"Estudios",8600,2.09302325581395,17200
"Ciencias de la computación",3,4,"Celular",3,"Huawei P50 Pro","Huawei",9,2,5,"Estudios",4360,4.12844036697248,8720
"Ciencias de la computación",3,6,"Laptop",2,"Lenovo ThinkBook 14","Lenovo",12,2,4,"Estudios, Investigación",3040,7.89473684210526,6080
"Ingenieria Mecatrónica",3,5,"Celular",2,"Motorola Edge","Motorola",9,1,5,"Estudios",4500,2,4500
"Ciencias de la computación",3,5,"Laptop",2,"Lenovo Legion Y740","Lenovo",12,2,5,"Estudios, Investigación",4000,6,8000
"Ciencias de la computación",3,6,"Celular",2,"Xiaomi Mi 11 Ultra","Xiaomi",12,2,5,"Estudios, Entretenimiento",5000,4.8,10000
"Ciencias de la computación",3,6,"Celular",3,"iPhone 13 Pro","Apple",8,2,4,"Estudios, Investigación",3095,5.16962843295638,6190
"Ciencias de la computación",3,6,"Celular",2,"iPhone 13 Pro","Apple",15,2,5,"Estudios, Entretenimiento, Otros",3095,9.69305331179321,6190
"Ciencias de la computación",3,6,"Laptop",2,"HP ProBook 450","HP",10,2,5,"Entretenimiento",3600,5.55555555555556,7200
"Ciencias de la computación",3,6,"Tablet",3,"Samsung Galaxy Tab A7
","Samsung",9,1,5,"Estudios",5100,1.76470588235294,5100
"Ingenieria Química",5,4,"Celular",3,"Iphone 13","Apple",3,1,5,"Estudios, Investigación, Entretenimiento",3240,0.925925925925926,3240
"Ingenieria Civil",3,6,"Laptop",3,"Acer Chromebook Spin 713","Acer",6,2,5,"Estudios",4472,2.68336314847943,8944
"Ingenieria Civil",3,6,"Laptop",2,"Lenovo IdeaPad 5","Lenovo",8,2,5,"Estudios, Investigación",3560,4.49438202247191,7120
"Ingenieria Civil",3,6,"Laptop",2,"HP Elite Dragonfly","HP",4,2,5,"Investigación, Entretenimiento",4496,1.77935943060498,8992
"Ingenieria Civil",3,6,"Celular",2,"Iphone 15 pro","Apple",9,2,5,"Estudios",4852,3.70981038746908,9704
"Ingenieria Mecatrónica",3,6,"Laptop",2,"Acer Aspire 5","Acer",8,2,5,"Investigación",4368,3.66300366300366,8736
"Bioingenieria",5,6,"Tablet",3,"Samsung Galaxy Tab S7","Samsung",6,2,5,"Estudios",8000,1.5,16000
"Ciencias de la computación",4,6,"Laptop",3,"Lenovo ThinkPad L 42620series","Lenovo",5,2,5,"Estudios",3600,2.77777777777778,7200
"Ingenieria Ambiental",4,6,"Laptop",2,"Lenovo ThinkPad 20TBS1D900","Lenovo",4,2,5,"Estudios, Entretenimiento",8520,0.938967136150235,17040
"Ingenieria Mecatrónica",3,6,"Celular",2,"SM-A325M","Samsung",4,3,4,"Estudios, Entretenimiento",5000,2.4,15000
"Ingenieria Civil",7,7,"Laptop",2,"Galaxy Book4 Pro","Samsung",5,3,3,"Estudios, Investigación",4900,3.06122448979592,14700
"Ingenieria Civil",8,7,"Laptop",2,"Lenovo Ideapad L340","Lenovo",5,3,3,"Estudios, Investigación",3320,4.51807228915663,9960
"Bioingenieria",7,6,"Laptop",2,"MacBook Air 15 pulgadas","Apple",7,3,3,"Estudios, Investigación",4230,4.9645390070922,12690
"Bioingenieria",6,6,"Laptop",2,"Samsung galaxy a34","Samsung",14,1,4,"Estudios, Investigación, Entretenimiento",5000,2.8,5000
"Ingenieria Civil",8,6,"Celular",2,"Iphone 14 pro Max","Apple",5,2,3,"Estudios, Investigación, Entretenimiento",4323,2.31320842007865,8646
"Ciencias de la computación",1,7,"Celular",2,"A24S","Samsung",6,2,5,"Estudios, Investigación, Entretenimiento",5000,2.4,10000
"Ciencias de la computación",1,7,"Laptop",4,"Asus ROG Zephyrus","Asus",10,3,2,"Estudios, Entretenimiento",4830,6.2111801242236,14490
"Ingenieria Civil",6,7,"Laptop",4,"GAMING PAVILLON","HP",6,2,5,"Estudios, Investigación, Entretenimiento",3320,3.6144578313253,6640
"Ciencia de Datos",5,5,"Laptop",4,"MacBook pro 14 pulgadas","Apple",5,3,3,"Estudios, Investigación, Entretenimiento, Otros",4590,3.26797385620915,13770
"Sistemas de Información",1,5,"Celular",2,"Samsung A34","Samsung",1,1,5,"Estudios",5000,0.2,5000
"Ciencia de Datos",1,5,"Celular",2,"Samsung A52","Samsung",3,2,3,"Estudios, Entretenimiento",4500,1.33333333333333,9000
"Ingenieria Mecánica",5,5,"Celular",2,"G14","Motorola",6,1,5,"Estudios, Entretenimiento",5000,1.2,5000
"Ciencia de Datos",6,6,"Laptop",3,"Lenovo IdeaPad S340","Lenovo",4,5,2,"Estudios",3174,6.30119722747322,15870
"Ingenieria Industrial",6,6,"Laptop",2,"VivoBook 15","Asus",1,1,4,"Estudios, Investigación, Entretenimiento",3727,0.268312315535283,3727
"Ingenieria Industrial",6,5,"Celular",3,"Samsung a32","Samsung",6,2,5,"Estudios, Investigación, Entretenimiento, Otros",5000,2.4,10000
"Ingenieria Química",7,5,"Laptop",2,"Huawei Matebook Pro","Huawei",7,2,5,"Estudios, Entretenimiento",3727,3.75637241749396,7454
"Bioingenieria",7,5,"Laptop",2,"Victus 16","HP",8,4,5,"Estudios, Investigación, Entretenimiento",3727,8.58599409712906,14908
"Ciencias de la computación",4,5,"Laptop",2,"lenovo C340","Lenovo",7,1,2,"Estudios, Entretenimiento",3727,1.87818620874698,3727
"Ingenieria Civil",6,6,"Celular",3,"P9","Xiaomi",5,2,4,"Estudios, Entretenimiento",6000,1.66666666666667,12000
"Ingenieria Civil",6,6,"Celular",3,"S23","Samsung",5,4,3,"Estudios, Investigación, Entretenimiento",3900,5.12820512820513,15600
"Ingenieria Química",6,6,"Laptop",2,"Motorola edge 40","Motorola",15,2,3,"Estudios, Investigación, Entretenimiento",4400,6.81818181818182,8800
"Ciencias de la computación",7,4,"Celular",3,"Iphone 10","Apple",8,1,5,"Estudios, Entretenimiento",2716,2.94550810014728,2716
"Ingenieria Industrial",3,5,"Celular",2,"Samsung Note 19","Samsung",5,2,4,"Estudios, Entretenimiento",4000,2.5,8000
"Ingenieria Industrial",3,5,"Laptop",3,"Lenovo idealpad","Lenovo",7,3,4,"Estudios, Entretenimiento",3000,7,9000
"Ciencias de la computación",5,8,"Celular",6,"iPhone 15 pro","Apple",6.1,1,5,"Estudios, Entretenimiento",3274,1.86316432498473,3274
"Ciencias de la computación",5,6,"Laptop",2,"TUF DASH F15","Asus",4,3,4,"Estudios, Entretenimiento",4935,2.43161094224924,14805
"Ingenieria Electrónica",7,6,"Laptop",2,"S510U","Asus",6,2,3,"Estudios, Investigación, Entretenimiento",3600,3.33333333333333,7200
"Ciencias de la computación",1,6,"Laptop",3,"Dell Inspiron I15","DELL",6,1,2,"Estudios",3600,1.66666666666667,3600
"Sistemas de Información",1,6,"Tablet",3,"Ipad Air 5th generación","Apple",5,2,5,"Estudios",8827,1.13288773082588,17654
"Ingenieria Mecatrónica",1,7,"Laptop",3,"DELL Inspiron 15","DELL",8,2,4,"Estudios, Investigación",4400,3.63636363636364,8800
"Ingenieria Civil",5,6,"Laptop",4,"Tuffgamer","Asus",12,10,4,"Estudios, Investigación, Entretenimiento",4935,24.3161094224924,49350
"Ingenieria Ambiental",7,6,"Celular",3,"Motorola ZenBook","Asus",10,2,4,"Estudios, Investigación",3636,5.5005500550055,7272
"Bioingenieria",1,7,"Celular",2,"Iphone 10","Apple",6,2,5,"Estudios",2716,4.41826215022091,5432
"Bioingenieria",1,6,"Celular",4,"Motorola Edge","Motorola",9,2,4,"Estudios, Investigación, Entretenimiento",5000,3.6,10000
"Ciencia de Datos",1,6,"Laptop",3,"Lenovo ThinkPad L42620","Lenovo",8,2,5,"Estudios",5200,3.07692307692308,10400
"Ciencias de la computación",5,6,"Laptop",3,"Lenovo ThinkPad T450","Lenovo",4,1,4,"Estudios, Investigación",5200,0.769230769230769,5200
"Ingenieria Mecatrónica",7,5,"Celular",2,"Iphone 15 Pro","Apple",10,2,5,"Estudios, Investigación, Entretenimiento",3274,6.10873549175321,6548
"Bioingenieria",1,6,"Celular",2,"Huawei 9 Lite","Huawei",10,2,4,"Estudios, Investigación",3000,6.66666666666667,6000
"Ingenieria Mecatrónica",1,6,"Laptop",2,"Acer Nitro 5","Acer",5,1,5,"Estudios",5185,0.964320154291225,5185
"Ingenieria Mecánica",3,6,"Laptop",2,"lenovo ideapad","Lenovo",7,2,4,"Estudios, Entretenimiento",5000,2.8,10000
"Ingenieria Mecatrónica",3,6,"Celular",2,"Samsung","Samsung",4,1,5,"Estudios, Entretenimiento",5000,0.8,5000
"Ingenieria Civil",4,6,"Laptop",3,"MSI","MSI",1,6,2,"Entretenimiento",3500,1.71428571428571,21000
"Ingenieria Civil",4,6,"Celular",3,"Samsung","Samsung",9,4,4,"Estudios, Investigación, Entretenimiento",4500,8,18000
"Ingenieria Mecánica",3,5,"Laptop",2,"lenovo ideapad","Lenovo",5,2,4,"Estudios",5000,2,10000
"Ingenieria Ambiental",3,5,"Laptop",2,"Acer Nitro 5","Acer",3,1,4,"Estudios",5000,0.6,5000
"Bioingenieria",3,6,"Laptop",2,"lenovo ideapad","Xiaomi",4,2,5,"Estudios",4500,1.77777777777778,9000
"Ingenieria Civil",4,6,"Laptop",2,"asus tuf gaming","Asus",6,3,5,"Estudios",4500,4,13500
"Ingenieria Industrial",2,4,"Celular",2,"Samsung","Samsung",5,4,5,"Estudios, Investigación, Entretenimiento, Otros",7000,2.85714285714286,28000
"Ingenieria Mecatrónica",3,6,"Laptop",3,"lenovo ideapad","Lenovo",6,3,5,"Estudios, Investigación, Entretenimiento, Otros",5000,3.6,15000
"Ingenieria Civil",4,4,"Laptop",2,"lenovo ideapad","Lenovo",2.5,2,5,"Estudios, Investigación",4500,1.11111111111111,9000
"Ingenieria Ambiental",3,6,"Laptop",2,"Acer Nitro 5","Acer",6,1,3,"Estudios, Entretenimiento",4000,1.5,4000
"Ingenieria Civil",4,6,"Celular",2,"Xiaomi","Xiaomi",2,2,5,"Estudios, Investigación, Entretenimiento",5000,0.8,10000
"Ingenieria Civil",4,7,"Laptop",2,"HP Victus","Samsung",6,2,4,"Estudios",4000,3,8000
"Ingenieria Civil",4,6,"Laptop",3,"asus tuf gaming","Asus",11,3,4,"Estudios",4500,7.33333333333333,13500
"Ingenieria Civil",5,5,"Laptop",3,"asus tuf gaming","Asus",4.3,3,3,"Estudios, Investigación, Entretenimiento",5000,2.58,15000
"Ingenieria Mecatrónica",3,6,"Laptop",2,"lenovo ideapad","Lenovo",4,1,1,"Estudios, Investigación",4500,0.888888888888889,4500
"Ingenieria Ambiental",3,6,"Celular",5,"Iphone","Apple",6,1,5,"Entretenimiento",4000,1.5,4000
"Ingenieria Ambiental",3,5,"Celular",4,"Iphone","Apple",3,3,3,"Estudios",4500,2,13500
"Ingenieria Civil",4,6,"Laptop",3,"HP Victus","HP",10,8,4,"Estudios, Entretenimiento",4000,20,32000
"Ingenieria Ambiental",4,6,"Laptop",3,"HP Victus","HP",10,3,5,"Estudios, Investigación, Entretenimiento",4000,7.5,12000
"Ingenieria Civil",4,7,"Laptop",5,"asus tuf gaming","Asus",1.3,1,4,"Estudios",4000,0.325,4000
"Ingenieria Electrónica",4,6,"Laptop",3,"HP Victus","HP",8,3,3,"Estudios, Investigación, Entretenimiento",4000,6,12000
"Ingenieria Mecatrónica",3,6,"Celular",3,"Samsung","Samsung",6,2,3,"Estudios, Investigación, Entretenimiento",5000,2.4,10000
"Ingenieria Mecatrónica",4,7,"Laptop",5,"Acer Nitro 5","Acer",4.5,3,3,"Estudios",3500,3.85714285714286,10500
"Ingenieria Civil",4,7,"Laptop",2,"MSI","MSI",5,2,3,"Estudios, Investigación, Entretenimiento",4000,2.5,8000
"Ingenieria Electrónica",4,6,"Laptop",3,"HP Victus","HP",4,3,4,"Estudios, Entretenimiento",4500,2.66666666666667,13500
"Ingenieria Civil",5,7,"Laptop",2,"Acer Nitro 5","Acer",1,2,1,"Estudios",4500,0.444444444444444,9000
"Ingenieria Civil",4,5,"Laptop",2,"lenovo ideapad","Lenovo",4,2,4,"Estudios, Entretenimiento",4000,2,8000
"Ingenieria Ambiental",3,6,"Laptop",2,"HP Victus","HP",6,4,3,"Estudios",4000,6,16000
"Ingenieria Civil",4,6,"Laptop",4,"Acer Nitro 5","Acer",6,2,4,"Otros",5000,2.4,10000
"Ingenieria de la Energía",3,5,"Tablet",3,"Samsung","Samsung",5,1,3,"Estudios, Entretenimiento",7000,0.714285714285714,7000
"Ingenieria Mecatrónica",3,5,"Tablet",3,"Samsung","Samsung",7,2,3,"Estudios, Investigación, Entretenimiento",4500,3.11111111111111,9000
"Bioingenieria",3,5,"Laptop",2,"HP Victus","HP",5,3,2,"Estudios",5000,3,15000
"Bioingenieria",4,5,"Celular",3,"Iphone","Apple",5,3,4,"Estudios, Investigación, Entretenimiento",2500,6,7500
"Ingenieria Civil",4,7,"Laptop",3,"HP Victus","HP",6,3,3,"Estudios, Investigación",5000,3.6,15000
"Ingenieria Mecatrónica",2,6,"Celular",3,"Xiaomi","Xiaomi",4,2,4,"Estudios, Entretenimiento",4000,2,8000
"Ingenieria Civil",2,6,"Tablet",4,"Samsung","Samsung",7,5,2,"Estudios, Investigación, Entretenimiento, Otros",3000,11.6666666666667,15000
"Ingenieria Industrial",4,7,"Laptop",2,"HP Victus","HP",5,2,4,"Estudios, Investigación",4000,2.5,8000
"Ingenieria Mecatrónica",4,6,"Laptop",2,"HP Victus","HP",6,1,4,"Estudios, Investigación",4500,1.33333333333333,4500
"Ingenieria Mecánica",5,6,"Laptop",3,"lenovo ideapad","Lenovo",5,2,5,"Estudios, Investigación",5000,2,10000
"Ingenieria Ambiental",1,7,"Celular",3,"Samsung","Samsung",4,2,4,"Estudios, Investigación, Entretenimiento",3000,2.66666666666667,6000
"Ingenieria Ambiental",3,5,"Celular",3,"Iphone","Apple",5,2,3,"Estudios, Entretenimiento",5000,2,10000
"Bioingenieria",3,6,"Celular",4,"Iphone","Apple",9,1,5,"Estudios",5000,1.8,5000
"Ingenieria Ambiental",1,7,"Celular",3,"Iphone","Apple",7,2,3,"Estudios, Investigación, Entretenimiento",4500,3.11111111111111,9000
"Bioingenieria",3,6,"Celular",3,"Iphone","Apple",5,3,4,"Estudios, Investigación, Entretenimiento",4000,3.75,12000
"Ciencias de la computación",3,7,"Laptop",2,"lenovo ideapad","Lenovo",8,3,5,"Estudios",4500,5.33333333333333,13500
"Ingenieria Química",3,6,"Laptop",2,"HP Victus","HP",5,3,5,"Estudios, Investigación, Entretenimiento",7000,2.14285714285714,21000
"Ingenieria Industrial",1,7,"Celular",2,"Xiaomi","Xiaomi",5,1,4,"Estudios, Entretenimiento",3000,1.66666666666667,3000
"Ingenieria Industrial",1,7,"Celular",3,"Samsung","Samsung",8,1,4,"Estudios, Entretenimiento",4000,2,4000
"Ingenieria Ambiental",4,6,"Laptop",3,"HP Victus","HP",8,3,3,"Estudios, Investigación",5000,4.8,15000
"Ingenieria Civil",2,6,"Laptop",2,"HP Victus","HP",6,2,5,"Estudios, Entretenimiento",4000,3,8000
"Ingenieria Civil",2,6,"Laptop",2,"HP Victus","HP",6,2,4,"Estudios, Entretenimiento",3000,4,6000
"Ingenieria Mecánica",1,7,"Celular",3,"Iphone","Apple",5,3,4,"Estudios, Investigación",3000,5,9000
"Ingenieria Mecatrónica",1,7,"Laptop",3,"HP Victus","HP",2,1,5,"Estudios, Investigación, Entretenimiento",5000,0.4,5000
"Ingenieria Mecánica",1,6,"Celular",2,"Xiaomi","Xiaomi",3,2,3,"Estudios, Otros",4500,1.33333333333333,9000
"Ingenieria Mecánica",1,7,"Celular",4,"Xiaomi","POCO",5,2,5,"Estudios, Entretenimiento",5000,2,10000
"Ingenieria Mecatrónica",1,7,"Celular",2,"Iphone","Apple",5,2,3,"Estudios, Investigación, Entretenimiento",2500,4,5000
"Ingenieria Mecatrónica",3,5,"Laptop",2,"lenovo ideapad","Lenovo",6,2,5,"Estudios, Investigación",5000,2.4,10000
"Ingenieria Ambiental",4,6,"Laptop",3,"HP Victus","HP",5,3,3,"Estudios",5000,3,15000
"Ciencias de la computación",3,6,"Laptop",2,"HP Victus","HP",5,2,5,"Estudios, Entretenimiento",4000,2.5,8000
"Ingenieria Civil",4,5,"Celular",2,"Iphone","Apple",8,2,4,"Estudios, Entretenimiento, Otros",5000,3.2,10000
"Ingenieria Civil",8,7,"Celular",2,"Xiaomi","Xiaomi",5,2,3,"Estudios, Entretenimiento",5000,2,10000
"Ingenieria Mecatrónica",9,4,"Laptop",3,"lenovo ideapad","Lenovo",6,4,3,"Estudios, Investigación, Entretenimiento, Otros",4000,6,16000
"Ingenieria Mecánica",1,7,"Tablet",4,"Xiaomi","Xiaomi",5,3,5,"Estudios",5000,3,15000
"Ingenieria Mecatrónica",7,5,"Laptop",2,"HP Victus","HP",4,2,3,"Estudios, Investigación, Entretenimiento, Otros",4000,2,8000
"Ingenieria Mecánica",7,4,"Tablet",3,"Samsung","Samsung",4,1,5,"Estudios, Entretenimiento",5000,0.8,5000
"Ciencias de la computación",3,5,"Celular",2,"Samsung","Samsung",5,1,4,"Estudios, Investigación, Entretenimiento",4000,1.25,4000
"Ciencias de la computación",7,5,"Laptop",3,"asus tuf gaming","Asus",6,2,4,"Estudios, Investigación, Entretenimiento",5000,2.4,10000
"Ciencias de la computación",6,4,"Laptop",2,"Macbook","Apple",5,2,5,"Estudios, Investigación",5000,2,10000
"Ingenieria Mecatrónica",3,5,"Laptop",2,"lenovo ideapad","Lenovo",5,4,5,"Estudios",4000,5,16000
"Ingenieria Química",3,4,"Laptop",2,"Samsung","Samsung",5,2,5,"Estudios, Investigación, Entretenimiento, Otros",4500,2.22222222222222,9000
"Ingenieria de la Energía",4,7,"Laptop",2,"lenovo ideapad","Lenovo",8,3,4,"Estudios",3500,6.85714285714286,10500
"Ingenieria Química",5,5,"Tablet",3,"Iphone","Apple",5,2,5,"Estudios",5000,2,10000
"Bioingenieria",1,6,"Laptop",3,"Acer Nitro 5","Acer",6,2,5,"Estudios, Investigación, Entretenimiento",3500,3.42857142857143,7000
"Ingenieria Mecánica",2,7,"Laptop",2,"HP Victus","HP",6,3,3,"Estudios, Investigación, Entretenimiento",4000,4.5,12000
"Ingenieria Ambiental",3,6,"Tablet",6,"Samsung","Samsung",4,3,4,"Estudios, Entretenimiento",4500,2.66666666666667,13500
"Ciencias de la computación",4,5,"Laptop",3,"lenovo ideapad","Lenovo",2,3,4,"Estudios",4000,1.5,12000
"Ingenieria Mecatrónica",1,5,"Celular",3,"Samsung","Samsung",2.5,2,4,"Estudios, Entretenimiento",5000,1,10000
"Ciencias de la computación",6,5,"Celular",3,"Samsung","Samsung",4,2,4,"Estudios, Investigación, Entretenimiento",5000,1.6,10000
"Ingenieria Industrial",2,5,"Celular",2,"Samsung","Samsung",6,2,4,"Estudios, Entretenimiento",3500,3.42857142857143,7000
"Ingenieria Química",2,6,"Celular",3,"Samsung","Samsung",5,3,4,"Estudios, Investigación, Entretenimiento",4000,3.75,12000
"Ingenieria Química",2,6,"Celular",3,"Samsung","Samsung",3,2,4,"Estudios, Entretenimiento",4500,1.33333333333333,9000
"Ingenieria Química",4,4,"Celular",3,"Iphone","Apple",5,2,4,"Estudios, Investigación, Entretenimiento",3000,3.33333333333333,6000
"Ingenieria Civil",3,6,"Celular",4,"Samsung","Xiaomi",7,2,5,"Estudios, Entretenimiento",5000,2.8,10000
"Ingenieria de la Energía",3,4,"Laptop",2,"asus tuf gaming","Asus",5,3,4,"Estudios, Investigación",6000,2.5,18000
"Ingenieria Civil",4,6,"Laptop",2,"lenovo ideapad","Lenovo",2,1,4,"Estudios",4000,0.5,4000
"Ingenieria Química",3,4,"Laptop",2,"HP Victus","HP",8,2,2,"Estudios, Entretenimiento",4000,4,8000
"Ingenieria Industrial",6,6,"Celular",2,"lenovo ideapad","Lenovo",6,5,3,"Estudios, Investigación, Entretenimiento",4000,7.5,20000
"Ingenieria Industrial",5,5,"Celular",2,"Honor","Honor",1.5,1,4,"Estudios, Entretenimiento",4000,0.375,4000
